category,url,title,views,tags,title_clean,title_tokens,title_lemmas,named_entities
В мире,https://ria.ru/20250429/merkuris-2014008590.html,"""выгнал его"": на западе раскрыли, что устроил трамп на похоронах в ватикане",10280,"['В мире', 'Дональд Трамп', 'Ватикан', 'Рим', 'Владимир Зеленский']",выгнал западе раскрыли устроил трамп похоронах ватикане,"['выгнал', 'западе', 'раскрыли', 'устроил', 'трамп', 'похоронах', 'ватикане']","['выгнать', 'запад', 'раскрыть', 'устроить', 'трамп', 'похоронах', 'ватикан']","[('трамп', 'PER'), ('ватикане', 'LOC')]"
В мире,https://ria.ru/20250429/avtobus-2014008430.html,в анталье автобус с российскими туристами вылетел с трассы,16565,"['В мире', 'Анталья (провинция)', 'Россия', 'Туризм', 'Туризм']",анталье автобус российскими туристами вылетел трассы,"['анталье', 'автобус', 'российскими', 'туристами', 'вылетел', 'трассы']","['анталья', 'автобус', 'российский', 'турист', 'вылететь', 'трасса']","[('анталье', 'LOC')]"
В мире,https://ria.ru/20250429/istoriya-2014006352.html,"прокурор в сша обвинил ""википедию"" в манипулировании информацией об истории",2135,"['В мире', 'Колумбия', 'США', 'Илон Маск']",прокурор сша обвинил википедию манипулировании информацией истории,"['прокурор', 'сша', 'обвинил', 'википедию', 'манипулировании', 'информацией', 'истории']","['прокурор', 'сша', 'обвинить', 'википедия', 'манипулирование', 'информация', 'история']","[('сша', 'LOC'), ('википедию', 'ORG')]"
В мире,https://ria.ru/20250429/medvedev-2014006256.html,медведев обвинил запад в отсутствии сбалансированного мира,757,"['В мире', 'Россия', 'Дмитрий Медведев']",медведев обвинил запад отсутствии сбалансированного мира,"['медведев', 'обвинил', 'запад', 'отсутствии', 'сбалансированного', 'мира']","['медведев', 'обвинить', 'запад', 'отсутствие', 'сбалансированный', 'мир']","[('медведев', 'PER'), ('запад', 'LOC')]"
В мире,https://ria.ru/20250429/blekaut-2014005709.html,в испании сохраняются проблемы с мобильным интернетом после блэкаута,492,"['В мире', 'Испания', 'Португалия', 'Франция', 'Антониу Кошта']",испании сохраняются проблемы мобильным интернетом блэкаута,"['испании', 'сохраняются', 'проблемы', 'мобильным', 'интернетом', 'блэкаута']","['испания', 'сохраняться', 'проблема', 'мобильный', 'интернет', 'блэкаута']","[('испании', 'LOC')]"
В мире,https://ria.ru/20250429/prank-2014004228.html,конгрессмен в беседе с пранкерами выступил за вступление украины в нато,4884,"['В мире', 'Украина', 'Швеция', 'Россия', 'Владимир Кузнецов (Вован)']",конгрессмен беседе пранкерами выступил вступление украины нато,"['конгрессмен', 'беседе', 'пранкерами', 'выступил', 'вступление', 'украины', 'нато']","['конгрессмен', 'беседа', 'пранкерами', 'выступить', 'вступление', 'украина', 'нато']","[('украины', 'LOC'), ('нато', 'ORG')]"
В мире,https://ria.ru/20250429/peskov-2014004143.html,песков: россия рассчитывает на мирное урегулирование конфликта,832,"['В мире', 'Россия', 'Франция', 'Украина', 'Дмитрий Песков']",песков россия рассчитывает мирное урегулирование конфликта,"['песков', 'россия', 'рассчитывает', 'мирное', 'урегулирование', 'конфликта']","['песков', 'россия', 'рассчитывать', 'мирный', 'урегулирование', 'конфликт']","[('песков', 'PER'), ('россия', 'LOC')]"
В мире,https://ria.ru/20250429/peskov-2014003057.html,в кремле прокомментировали предложение зеленского о прекращении огня,24147,"['В мире', 'Украина', 'Дмитрий Песков', 'Владимир Зеленский']",кремле прокомментировали предложение зеленского прекращении огня,"['кремле', 'прокомментировали', 'предложение', 'зеленского', 'прекращении', 'огня']","['кремль', 'прокомментировать', 'предложение', 'зеленского', 'прекращение', 'огонь']","[('кремле', 'LOC')]"
В мире,https://ria.ru/20250429/peremirie-2014002462.html,"киев не отреагировал на предложение путина о перемирии, заявил песков",7262,"['В мире', 'Киев', 'Владимир Путин']",киев отреагировал предложение путина перемирии заявил песков,"['киев', 'отреагировал', 'предложение', 'путина', 'перемирии', 'заявил', 'песков']","['киев', 'отреагировать', 'предложение', 'путин', 'перемирие', 'заявить', 'песков']","[('киев', 'LOC'), ('путина', 'PER'), ('песков', 'PER')]"
В мире,https://ria.ru/20250429/makron-2014001931.html,в кремле прокомментировали заявление макрона о давлении на россию,13574,"['В мире', 'Россия', 'Франция', 'Дмитрий Песков']",кремле прокомментировали заявление макрона давлении россию,"['кремле', 'прокомментировали', 'заявление', 'макрона', 'давлении', 'россию']","['кремль', 'прокомментировать', 'заявление', 'макрон', 'давление', 'россия']","[('кремле', 'LOC'), ('макрона', 'PER'), ('россию', 'LOC')]"
